income,happiness
3.862647418,2.314488983
4.979381382,3.433489759
4.923956936,4.599373404
3.214372439,2.791113803
7.196409251,5.596398273
3.729643479,2.458555872
4.674517389,3.192991809
4.498103821,1.907136833
3.121630526,2.942449872
4.639914435,3.737941605
4.632839514,3.175406147
2.773178895,2.009046461
7.119478595,5.951814099
7.466653196,5.960547308
2.117742331,1.445798858
2.55916582,2.898583142
2.35479322,1.231167524
2.388157248,2.312988055
4.755680274,2.666116035
1.994275047,2.584729022
7.310916026,5.747444104
3.528318956,2.546524587
2.428751675,1.200785525
3.542747875,3.078293381
5.227201239,4.317760919
6.69199314,5.381478737
3.900409939,3.565224319
2.291055478,0.953412996
2.380512706,2.169161261
2.549608776,2.060794311
6.933295827,6.299101259
1.855645173,1.590355862
3.589023138,2.250929414
6.826477911,5.9142477
2.070601883,2.191833702
5.224205274,5.767814366
2.24311363,0.97288292
7.076166367,5.010577427
4.190672496,2.239664992
1.95648612,1.927578829
5.061758185,3.35807157
3.982189934,2.400087291
3.06505862,3.407980039
3.68287749,2.576176307
3.789429291,2.473079377
5.358715665,3.752659492
5.196119777,4.087631183
5.241189571,3.543203654
7.101619593,5.34835294
3.424021093,3.056376653
2.253399021,1.558422563
5.370336904,3.225132752
6.225606,5.034231009
5.482862234,3.857424259
4.034172109,3.61905549
6.510218719,4.004537739
6.029213862,4.802091807
6.949112894,4.658890392
7.195037289,5.231702968
2.757338498,2.480606467
6.956079482,5.498147193
4.670192578,4.550636958
6.368292668,3.570013567
6.166681166,4.719665333
6.074158292,4.503108168
5.484718965,5.046081775
1.589574738,0.669715948
1.680473928,1.606072357
5.499947957,4.826602696
4.043890903,2.208240516
5.005093241,4.056493099
4.863581726,3.567905233
1.506275045,1.308487263
2.864663845,4.1596093
5.877906294,4.633915057
6.483983789,5.068747881
4.938036592,3.040797294
5.625434421,3.804298861
7.228265215,5.034003785
5.337460294,3.703437932
2.82582659,2.188938121
5.931366673,5.538047529
3.520255202,3.583875162
3.239940593,3.09688561
3.498386369,2.200982172
7.186112258,5.151598289
4.719166072,5.950986328
3.594801958,2.968187102
3.233942432,2.399561326
1.514153223,0.859499052
4.002537064,1.775932552
6.19810376,4.661261209
2.280650861,0.727221191
2.189865512,0.771286567
3.434151134,3.348788206
5.932269677,3.966215411
5.307839437,2.890447416
5.664344909,3.773260652
7.439247611,6.359600004
2.134702147,0.268722097
6.501274722,4.374832318
3.651183174,2.155843323
2.286495392,1.89355686
4.748859137,4.902991575
5.459160761,4.833506427
3.433064765,3.172299463
7.176399653,5.029951665
5.506395117,4.261013003
3.097615732,1.67239058
4.647555992,1.497024128
1.828306344,1.265488916
3.534566235,2.667465435
4.60617584,1.999325527
5.361503134,5.231863313
6.879333037,5.21140132
4.317032306,3.661656456
3.38316358,1.415034656
4.932207232,4.933044092
4.935596519,4.130778265
2.601553311,2.282266934
5.711263543,3.901170334
6.117530552,4.691998851
3.771415149,3.577800675
7.11722011,5.562545475
2.194881851,2.39322812
5.952001916,3.56472374
3.922302763,2.253721516
7.081589058,4.121647747
6.950744997,4.169100759
3.660876547,3.823898686
1.78909178,0.458377574
3.540341099,2.576939959
4.533395191,2.947531471
4.867339442,3.739995796
4.056005444,3.571446511
5.634643477,4.808150425
5.461635882,4.017611208
3.186175826,1.839802006
4.417665557,3.468573793
5.760289224,4.758785492
3.716700249,2.391677519
2.182561567,0.992917365
4.29198369,3.16938024
3.410030276,2.089042355
3.581097036,1.843675775
3.509663093,1.616607435
6.660216364,5.949347502
6.27178643,4.940227777
3.735017626,2.841238677
4.39320834,2.944391335
3.512216897,3.026918175
6.239739633,5.097802509
3.681485586,3.036819937
7.241312999,4.68281699
6.345369732,4.000819183
5.939741524,4.570801127
2.45932138,2.042739312
2.539088891,1.748651124
6.708603726,6.064013048
6.831322325,5.132401469
5.082657925,3.11334209
6.030607372,4.821810262
6.574595032,4.179521023
3.574296929,1.631261107
5.529908432,3.822179643
2.409381746,1.857541886
4.264789552,3.751089281
3.530344828,3.158618594
6.143149816,4.927132625
5.157697377,4.600114757
4.710847457,2.408379902
6.847515267,4.486703665
5.464640093,2.727715712
4.176532342,3.020724447
3.748093215,3.749180727
2.274523114,2.311554237
1.576365722,0.987603172
1.924133698,1.461144421
5.904246043,4.57685653
5.189031076,4.767595639
1.87986818,0.438171567
2.544347646,2.351202468
3.221393614,3.453102739
7.260374143,5.381398471
6.481616962,4.820091247
5.688487723,4.658742683
6.633618821,5.380070207
5.972741351,3.315989476
3.897737917,2.799747487
6.461243321,4.206754912
6.628036302,4.402663195
3.118959195,2.769118126
4.695963614,2.784244545
1.573693715,0.688090581
3.670376931,3.47649914
7.19440696,5.836196656
1.780478658,2.003926093
2.142359555,0.971332454
3.65648599,2.857614364
2.090354141,1.852117711
3.363097172,3.515179177
2.423143852,2.100552494
7.111583642,6.086478284
3.039941856,4.083821161
2.373232035,1.524782291
1.98456369,2.579516515
2.628482853,1.619226127
7.136759971,5.506621537
3.104918354,1.095999271
1.558656751,0.968527327
7.478446618,4.877725538
2.813900047,1.759698667
5.744539644,5.032211034
6.540988357,5.713802294
6.562794132,4.795842867
5.470124995,4.660289961
2.085130525,2.740395407
4.589572497,4.250568064
5.074501769,3.941019322
7.463509813,4.50344538
5.853905763,4.633228732
3.764539962,4.030864938
7.06279211,6.863387951
6.377376426,5.079475899
1.920862764,1.625268393
7.364213378,6.618279842
6.535798861,4.656998572
7.300902725,6.004987475
3.037231724,2.410635566
6.703266827,4.261219972
1.927996684,1.065623809
4.223553578,2.295700142
2.92270632,1.919511103
4.427108605,3.581381038
2.07056241,0.628942061
5.224070229,3.344108372
7.161872875,6.160434101
2.210696478,2.861274444
7.2070597,4.209470573
2.184084991,1.226298134
4.414998466,4.79332516
5.014809669,3.313796516
2.60203712,2.152698433
2.917048671,2.923683874
6.244341635,3.452067233
6.859654494,4.258311529
2.371230424,3.961032766
5.96405759,3.427723163
7.153674088,4.720987338
2.28989742,1.571949813
6.376228033,6.186945609
3.540504299,3.552736964
3.13982572,1.245785944
6.460742301,3.426911652
2.641348462,1.877147043
2.002213553,1.817889113
6.391428135,5.239909498
2.763719772,1.384044112
6.831257549,3.837977768
3.827254525,2.32169769
3.770670898,3.31157823
3.159854892,3.05738784
5.099417157,4.737045954
5.610390825,4.590970461
1.856371752,0.654242148
5.363729581,3.981127739
2.336133563,2.336276033
4.975851368,4.540636147
2.629546775,2.192744863
2.646458097,1.788176341
3.859892387,2.71943218
4.121530621,4.212697339
6.38594064,4.477271392
3.842709679,2.468859994
4.990548538,3.451772538
3.400596941,0.686920849
3.820115372,2.246745707
1.909499153,1.627695089
2.858464123,2.453209061
7.45150065,4.109944653
3.354252107,2.572598203
6.707825202,4.810424058
6.325906067,4.827416304
1.931180677,2.465761128
5.128545227,3.757378987
4.278209872,3.691348189
1.579470288,1.981809911
2.907682177,1.410229567
5.64471409,3.75430142
3.571175436,4.245215597
2.345107567,1.437876724
5.845197028,4.159887144
5.298480408,3.514891782
3.434699925,2.714498038
1.865995232,1.357373136
5.095615491,5.638460387
1.530807727,2.421464669
1.618311459,1.511205108
6.687677218,5.522891668
7.347245523,4.396622319
5.983845696,3.988452835
5.196082373,3.31760678
4.193007431,2.779682627
2.347687551,0.846505526
4.709489378,2.457921707
2.30719771,3.509604688
2.730768821,2.646904537
3.882513505,2.977916724
3.574393645,1.424450548
4.159576384,1.790342317
1.544634333,1.644636603
3.383896674,0.73163629
3.614745183,2.901788592
6.503882324,4.317133158
1.848412558,2.09736906
4.420311904,4.391592976
6.477153237,5.313956903
6.561419985,6.281370191
7.180907194,5.60796663
2.809090781,2.946870435
5.68620541,3.872788848
4.800343746,2.842868351
2.412912159,1.46061633
2.92570352,3.752824766
3.174175764,3.126603239
2.685529629,2.821192645
2.124429242,2.734960056
2.694022127,2.19759212
4.230888794,4.155540864
5.350515664,4.078208838
5.091579506,4.45696361
6.250302214,4.93925896
5.324632561,3.730569958
2.048497711,2.575054857
2.381385245,2.176322145
6.919942971,6.236955312
2.359507794,0.898732803
4.545707462,3.629424387
7.310502636,5.923346071
1.697463691,0.546190176
4.48358582,3.031497066
2.07995534,2.847816843
4.834397386,4.51696059
4.761344479,4.59169701
4.270036551,3.157765091
5.379795423,4.28799968
4.255557225,3.618829789
4.216468481,3.20079786
5.693725061,3.999703007
2.996520703,1.662253199
2.849458214,2.391549999
3.744973637,3.067609453
3.441513288,2.017513588
4.28007538,3.64088397
1.824455719,0.266043663
2.889242002,1.295427294
2.169977498,1.853347613
6.9768987,5.367236103
2.683731229,2.466292344
1.651156092,1.723593561
4.416320576,4.307288416
3.881098692,3.156367436
3.784560552,1.690458095
6.2672605,5.085523011
1.89032676,2.48162387
1.762058178,1.353317341
6.089162512,5.275294151
6.374253863,3.670291526
6.392483125,3.69639041
3.204316343,2.679887318
2.908146911,2.363564669
2.349952069,1.438596105
7.004398837,5.362448263
3.483599117,2.325309226
2.517463803,1.529560944
5.698451341,4.035727019
4.381923282,3.550337184
4.77205909,3.554600317
5.395016451,4.199728526
5.456441309,3.135475154
1.788359923,1.145295813
3.112592784,3.539854127
5.080968448,3.822203964
4.851313918,3.835577646
6.607472112,5.683750561
3.126856179,2.517400876
6.562762833,4.324660384
2.343075473,2.958696801
1.600033017,1.680997133
5.248175536,4.253501304
3.035461316,2.260395693
4.947372147,3.615471053
1.574953616,1.502211626
5.741724885,3.776484631
5.91047527,3.201042435
6.195003987,4.058311616
5.492589725,4.105224517
4.517244574,3.722097639
4.311785997,3.822270313
4.63374137,3.706660981
7.423832498,4.909688469
2.507768548,2.155733626
5.712586659,5.743736081
6.82237691,4.337571452
3.367591818,2.58241664
6.320191311,4.284305558
2.298643365,2.96216821
4.699895879,3.990415894
7.246754831,5.890148697
5.666951153,3.688539518
4.087461982,3.217847363
3.314556071,2.220470327
6.768336228,5.910284878
5.40574906,4.853032519
3.63228339,3.802973633
4.924949687,3.092164648
3.699205521,3.233313747
6.896929289,5.265478958
7.025517695,4.81153338
6.475625217,5.368041173
1.63938057,1.798718303
6.635954116,4.760014333
4.604409215,3.415806479
7.032057099,5.040174582
3.102346043,1.965635933
3.044114204,1.871957854
6.182899232,5.323507389
5.415052928,4.501158336
3.860695981,2.435094856
5.695338812,4.553216548
6.36491894,4.36170927
2.099093467,1.478787199
3.498967518,2.768523129
5.994602282,3.960636371
6.840930948,5.915781395
5.754940995,3.98019535
6.926720969,4.708202988
1.623813737,1.416661055
5.906358484,4.328417097
7.481521381,6.196295546
2.607853159,1.945961053
1.660650497,0.698459965
6.235585355,5.135455316
2.965991721,1.560355376
6.279265066,4.234991215
2.220403863,0.688909231
2.070950246,0.685848874
2.868418626,1.791753568
3.928140904,3.227472173
6.835747726,5.15933124
3.437164722,3.802970673
5.139565218,4.216057592
6.004521296,4.932409978
3.283166895,2.233440584
5.919129259,4.37825945
3.910198547,3.483925685
2.642098592,2.030297043
5.720877412,3.596398318
3.39991642,3.261182104
1.611606313,3.481137767
4.78368549,3.393439153
4.591489106,4.229663345
5.671839739,4.321364297
6.052731401,4.400455145
4.315794177,3.357597382
6.495854763,5.335718004
6.546132584,5.588389336
4.688219626,2.994204284
3.126524031,2.413381753
6.781564124,4.98536659
7.119505376,4.981981125
7.297722283,6.384274497
5.873493543,3.26747544
1.587315346,1.312758977
6.001806863,4.039547986
5.723226096,4.425995084
5.237893052,3.342749396
6.44994534,3.492310186
4.172336668,3.751225463
6.52277168,5.386559329
7.448116557,5.963422086
7.225191864,4.985254927
3.275334807,2.798160728
2.031817764,2.967323268
2.840140748,1.228773184
6.101564703,3.96172964
6.074327799,4.649143652
4.243872552,4.754168395
5.318575592,2.961956663
6.052381321,4.633441055
3.154042591,1.294136576
2.482381605,0.548365189
3.435101751,2.115136485
5.249208789,4.56870456
3.471798585,2.535002113
6.087609623,4.397451275
3.440846876,2.070663768
4.530545407,3.710192978
