기간,평균,최고기온,극점최고기온,최저기온,극점최저기온,강수량,상대습도,풍속,최대풍속,최대순간풍속
2005-01,-2.5,1.5,7.3,-6.2,-11,4.5,52,2.4,7.5,15.1
2005-02,-1.9,2.2,10.5,-5.5,-13.1,17.2,49,2.8,11,22.5
2005-03,4.1,8.8,17.6,0.2,-6.5,12.5,54,2.9,9.5,16.7
2005-04,13.2,18.1,29.8,8.9,4.1,94.7,53,3,10.4,18
2005-05,17.7,22.9,30.2,13,6.3,85.8,55,2.4,9.3,15.1
2005-06,22.7,27.3,32,19.1,15.5,168.5,69,2.4,8.8,15.3
2005-07,25.3,28.8,34.2,22.7,18.3,269.4,76,2.2,8,12.6
2005-08,25.1,28.7,35,22.4,16.5,285,75,2.6,8.2,15
2005-09,21.8,25.7,30.8,18.6,13.8,313.3,71,2.3,8.4,15.3
2005-10,14.7,19.4,24.9,10.7,3,52.6,65,1.7,5.4,11.1
2005-11,8.6,12.9,21.8,4.6,-1.1,44.6,55,2.2,8.4,16.8
2005-12,-3.9,-0.1,11.1,-7.4,-14,10.3,51,2.5,7.6,15.8
2006-01,-0.2,3.4,9.3,-3.3,-10.1,34.3,57,2.1,6.1,12.1
2006-02,0.1,4.2,11.5,-4,-14.1,15.7,53,2.6,8.1,15.6
2006-03,5.2,9.9,17.2,0.9,-6.9,14,51,2.9,10.9,20.2
2006-04,11.6,16.2,22.2,7.7,2.9,51.8,55,3,9.1,16.8
2006-05,18.4,23.4,28.3,14,10.8,156.2,57,2.5,8.6,14.6
2006-06,21.8,26.3,32.4,18.1,14.1,168.5,68,2.2,8,13.5
2006-07,23.1,26,30.1,20.9,17.5,"1,014",82,2.3,9.2,16
2006-08,27,31.1,34.7,23.9,20.8,121.2,69,2.1,7.6,16.2
2006-09,21.1,25.7,30.3,16.9,11.3,11.1,58,2.1,7.1,13.8
2006-10,17.9,22.6,27.5,13.9,7.9,30.2,62,2,8.5,17.1
2006-11,8.4,12.4,20.2,4.5,-1.3,47.6,58,2.4,8.1,15.6
2006-12,1.4,5.4,12.6,-2,-12.3,17.3,59,2.1,7.2,14.3
2007-01,0.4,4.1,11.8,-2.8,-7.6,10.8,56,2,8,15.5
2007-02,4,8.7,14.8,0.1,-8.6,12.6,53,2.3,8.6,14.8
2007-03,6.1,10.3,16.2,2.3,-7.6,123.5,60,2.7,10,18.2
2007-04,11.4,16.1,22.5,7.5,1.6,41.1,53,2.8,9.4,18.7
2007-05,18.1,23.4,30.1,13.6,9,137.6,62,2.6,8.7,17.6
2007-06,23.2,27.7,33.2,19.2,14.1,54.5,61,2.3,6.9,11.8
2007-07,24.2,27.8,31.2,21.3,17.7,274.1,75,2.4,7.3,16.1
2007-08,26.5,29.9,33.2,23.8,19.8,237.6,75,2.6,9.9,18.7
2007-09,21.5,25.1,31.1,18.6,14.1,241.9,74,2.5,8,13.8
2007-10,15.1,19.6,26.2,11.3,3.2,39.5,63,2.1,8,14.5
2007-11,6.7,11.4,19.3,2.8,-5.5,26.4,55,2.2,7.7,14.8
2007-12,1.8,5.4,13.8,-1.4,-7.4,12.7,60,2.4,8.5,15.6
2008-01,-1.7,1.9,7.3,-5,-11.1,17.7,50,2.3,6.9,12.8
2008-02,-1.2,3.2,10.5,-4.9,-10.1,15,46,2.7,8.4,13.8
2008-03,7.3,11.9,19.8,3.7,-1.7,53.9,56,2.6,8.3,12.8
2008-04,14.1,19.5,28,9.3,3.8,38.5,50,2.7,10.9,19.7
2008-05,17.7,22.7,28.5,13.1,8.1,97.7,58,2.7,8.7,16.6
2008-06,21.5,26.1,29.6,17.6,13.7,165,65,2.7,7.5,12.5
2008-07,25.1,28.4,32.9,22.6,20.2,530.8,78,2.4,7.9,15.1
2008-08,25.3,29.5,35.4,21.8,16.3,251.2,69,2.5,8.6,15.9
2008-09,22,26.9,32,18,10.3,99.2,64,1.9,6.6,11.5
2008-10,16.1,21,28.3,12.1,5.6,41.8,62,2,7.2,12.6
2008-11,7.6,11.7,18.4,3.8,-7.2,19.6,58,2.2,8.4,15.7
2008-12,1.1,5,13.3,-2.7,-13.1,25.9,56,2.5,8.2,14.6
2009-01,-2,2.3,12.2,-5.5,-11.4,5.7,50,2.5,8.1,15.1
2009-02,2.9,6.8,16.1,-0.6,-8.6,36.9,57,2.5,11.9,20.1
2009-03,6,10.6,22.2,1.8,-3.3,63.9,52,3.1,8.8,18.1
2009-04,12.7,18,25.8,8.1,2.2,66.5,54,2.6,8.6,14.4
2009-05,19.1,24.3,31,14.6,9.8,109,59,2.5,8.2,12.8
2009-06,22.4,26.7,32.4,18.8,14.3,132,66,2.5,8.8,15.3
2009-07,24.3,28.2,32.4,21,18.7,659.4,76,2.3,10.4,16.8
2009-08,25.7,29.5,34.4,22.4,16.4,285.3,69,2.2,7.1,13.1
2009-09,21.8,26.3,29.9,17.7,14.4,64.5,64,1.8,6.5,10.4
2009-10,16,20.9,26.4,11.7,6.2,66.9,62,2.1,9.7,17.2
2009-11,6.9,10.4,21.8,3.7,-4.3,52.4,64,2.5,6.8,12.3
2009-12,-1,2.5,10.1,-4.2,-12.9,21.5,60,2.5,8.3,15.9
2010-01,-4.5,-0.7,8.4,-8.1,-15.3,29.3,65,2.3,6.9,11.5
2010-02,1.4,4.9,17.9,-1.7,-10.8,55.3,59,2.4,6.6,12.3
2010-03,4.3,8.1,14.2,0.5,-4,82.5,59,2.9,10.2,16.7
2010-04,9.5,14,20.7,5.6,1.1,62.8,54,2.9,10.9,17.2
2010-05,17.2,22,28.6,13,5.8,124,62,2.6,9.9,16.2
2010-06,23.4,28.2,32.7,19.3,12.1,127.6,62,2.1,6,9.9
2010-07,25.8,29.3,32.3,23.1,21,239.2,74,2.5,7.9,12.3
2010-08,26.5,30,33.8,23.8,19.9,598.7,78,2.4,10.7,16.2
2010-09,21.8,26,31.4,18.5,8.4,671.5,72,2.3,14,21.6
2010-10,14.5,19.3,24.2,10.4,0.7,25.6,61,2.2,8.1,14
2010-11,6.5,11.3,17.4,2.5,-5.2,10.9,55,2.8,10.5,18
2010-12,-1.3,3.1,13.5,-5.1,-15.1,16.1,56,3,9.1,14.4
2011-01,-7.2,-3.4,0.3,-10.5,-17.8,8.9,54,2.8,8,14.4
2011-02,1.2,5.9,13.2,-2.5,-9.2,29.1,55,2.6,10.6,17.4
2011-03,3.6,8.3,16.8,-0.1,-5.5,14.6,51,3.4,9.9,15.4
2011-04,10.7,15.6,19,6.8,4.3,110.1,54,3.2,9.5,16.4
2011-05,17.9,23,31.2,13.6,8.5,53.4,56,2.8,9.7,16.4
2011-06,22,26.6,32.9,18.4,14.4,404.5,67,2.9,10.9,19
2011-07,24.6,28,34.1,22,18.9,"1,131",79,2.4,9.3,16.7
2011-08,25.8,29.5,34.1,23,18.1,166.8,74,2.5,9.4,15.6
2011-09,21.8,26.6,32.4,17.7,10.3,25.6,58,2.4,7.6,15
2011-10,14.2,19.3,23.4,9.7,3.1,32,55,2.1,7.1,13.6
2011-11,10.7,14.7,25.9,7.2,-5.5,56.2,60,2.7,9.7,16.1
2011-12,-0.9,2.9,9.1,-4.1,-10.6,7.1,50,2.6,7.7,13.3
2012-01,-2.8,1.3,8.4,-6.3,-12.2,6.7,48.9,2.5,7.5,12.6
2012-02,-2,3,12.1,-6,-17.1,0.8,43.2,2.9,8.1,12.5
2012-03,5.1,9.5,16.2,1.5,-5.7,47.4,51.8,3.5,10.2,18
2012-04,12.3,17.9,29.4,7.8,0.6,157,54.1,3.4,12,20
2012-05,19.7,25.1,29.3,15.4,12,8.2,48.2,2.7,8.6,15.7
2012-06,24.1,29.7,33.5,20,16.3,91.9,54.1,2.8,9.1,19.2
2012-07,25.4,29,33.2,22.4,18.5,448.9,73.8,2.7,7.7,15.2
2012-08,27.1,30.9,36.7,23.9,18.7,464.9,68,3,13.7,24
2012-09,21,25,29.5,17.4,12,212,65.2,2.3,11.5,20.4
2012-10,15.3,20.5,26,11,2.8,99.3,58.2,2.3,7.2,12.6
2012-11,5.5,9.5,15.7,1.8,-3,67.8,57.2,2.7,9.3,19
2012-12,-4.1,-0.5,8.3,-7.4,-14.5,41.4,57,2.7,8.8,14.3
2013-01,-3.4,0.3,11.5,-6.6,-16.4,22.1,57.1,2.7,8.2,13.5
2013-02,-1.2,2.8,13.9,-4.9,-15.8,74.1,53.6,2.9,8.4,14.8
2013-03,5.1,10.8,23.8,0.7,-4.4,27.3,49.2,3,8.8,15.4
2013-04,10,15,21.6,5.7,1.3,71.7,54,3.4,9.9,17.7
2013-05,18.2,23.6,31.8,13.7,7.9,132,57.8,2.9,8.5,11.6
2013-06,24.4,29.2,32.6,20.5,16.3,28.3,60.1,2.2,6.2,10.4
2013-07,25.5,28.3,31.3,23.4,20.5,676.2,79.3,3.4,10.9,18
2013-08,27.7,31.1,33.9,24.8,21.1,148.6,69.3,2.8,9.9,15.6
2013-09,21.8,25.9,31.1,18,10.9,138.5,62.9,2.2,6.2,11
2013-10,15.8,21.2,28.1,10.9,4.3,13.5,59,2.5,8.5,14.8
2013-11,6.2,10.7,20.7,2.1,-6.4,46.8,58,2.7,12.6,20
2013-12,-0.2,3.5,11,-3.5,-9.8,24.7,60,2.4,8.3,13.2
2014-01,-0.7,3.5,8.2,-4.9,-10.5,13,50,2.4,7.8,14.8
2014-02,1.9,6.6,16.4,-1.8,-10.5,16.2,52,2.7,7.4,12.1
2014-03,7.9,13.1,23.8,3.5,-4.6,7.2,60,3,9.1,15.5
2014-04,14,19.6,26.2,9.4,2.3,31,60,2.8,9.3,18.4
2014-05,18.9,25.3,33.3,13.8,6.8,63,59,3.2,11.1,16.3
2014-06,23.1,27.8,31.1,19.7,17.3,98.1,73,2.6,8.3,14.2
2014-07,26.1,30.6,34.4,22.9,19.1,207.9,74,2.8,10.8,18.2
2014-08,25.2,29,35.8,22.1,18.3,172.8,77,2.4,9.3,15.7
2014-09,22.1,27,31.3,18,14.9,88.1,69,2.1,7.1,11.7
2014-10,15.6,21.4,29,10.7,2.7,52.2,63,2.4,9,17.7
2014-11,9,13.8,22.9,4.9,-3.1,41.5,60.9,2.5,8.7,16.6
2014-12,-2.9,1.5,7.9,-6.7,-13.2,17.9,56,2.8,11.1,19.3
2015-01,-0.9,3.6,9,-4.8,-9.8,11.3,56,2.6,7.7,13
2015-02,1,6,13,-2.9,-13,22.7,59,2.9,8.5,14.5
2015-03,6.3,12.4,21.9,1,-6.9,9.6,45,3.1,9.1,16.3
2015-04,13.3,18.8,28.3,8.4,3.5,80.5,55,3.1,10.4,16.4
2015-05,18.9,24.9,32.2,13.6,8.3,28.9,53,3,11.1,17.2
2015-06,23.6,29.5,34.9,18.9,15.6,99,60,2.5,7.8,14.4
2015-07,25.8,30,36,22.6,18.2,226,71,2.8,8,14.4
2015-08,26.3,30.8,34.4,22.8,18.9,72.9,70,2.4,8.1,14.2
2015-09,22.4,28.1,31,17.5,14.2,26,56,2.3,6.7,12.7
2015-10,15.5,21.2,26.6,10.8,1.1,81.5,61,2.3,8.6,16
2015-11,8.9,12.7,19.8,5.9,-7.3,104.6,74,2.7,7.7,13.2
2015-12,1.6,6,12.2,-2.1,-9.5,29.1,60,2.3,8,16.8
2016-01,-3.2,1.1,9.5,-6.8,-18,1,53,2.5,9,15.1
2016-02,0.2,5.1,14.4,-4.1,-10,47.6,52,2.8,7.6,14.4
2016-03,7,12.6,21.4,2.4,-7.5,40.5,51,2.4,7.1,12.7
2016-04,14.1,20.3,29.6,9.1,5.1,76.8,55,2.4,8,16.7
2016-05,19.6,25.7,31.9,14.1,8.9,160.5,56,2.4,8.7,18
2016-06,23.6,28.7,32.2,19.5,17.1,54.4,63,2.1,6.8,10.5
2016-07,26.2,29.8,34.1,23.3,19.8,358.2,73,2.1,6.1,11.2
2016-08,28,32.6,36.6,24.5,16.1,67.1,64,2.1,7.3,13.6
2016-09,23.1,27.9,31.1,19.3,14.3,33,65,2,8.1,15.7
2016-10,16.1,21.3,29,11.6,0.7,74.8,62,2.1,6.3,12.8
2016-11,6.8,11.6,18.6,2.8,-6.2,16.7,57,2.2,6.1,9.8
2016-12,1.2,5.8,13.6,-2.7,-9.8,61.1,59,2.2,7.2,12.9
2017-01,-1.8,2.9,11.4,-5.8,-12.6,14.9,55,2.3,7,13.1
2017-02,-0.2,4.8,12.3,-4.7,-9.3,11.1,54,2.5,7.8,12.3
2017-03,6.3,12.3,18.9,1.7,-5.3,7.9,48,2.4,8.5,17.9
2017-04,13.9,20,27.8,9.1,3.1,61.6,52,2.6,8.1,15.6
2017-05,19.5,25.4,30.3,14.4,10,16.1,52,2.4,8.5,15.7
2017-06,23.3,28.8,34.1,18.7,14.5,66.6,57,2.4,6.4,12.1
2017-07,26.9,30.4,35.4,24.3,21.9,621,77,2,7.3,13.3
2017-08,25.9,29.7,35.3,22.9,16.1,297,71,2.3,7.7,15.3
2017-09,22.1,27.4,31.4,17.5,11.2,35,61,2,6.8,12.1
2017-10,16.4,22.5,29.4,11.6,2.5,26.5,56,1.9,7.6,12.9
2017-11,5.6,10.5,18.4,1.3,-6.6,40.7,54,2.1,6.7,13
2017-12,-1.9,2.2,8.7,-5.7,-12.3,34.8,56,1.8,6.7,14.2
2018-01,-4,0.1,8.7,-7.3,-17.8,8.5,48,1.9,7.2,12.2
2018-02,-1.6,3.3,10.4,-5.9,-13.4,29.6,45,2.2,6.3,12.2
2018-03,8.1,13.6,22.1,3.8,-6.7,49.5,59,1.9,6.9,12.8
2018-04,13,18.5,26.3,8.1,0.1,130.3,55,2,8.8,15.9
2018-05,18.2,23.3,29.6,13.4,6.9,222,63,1.7,8,13.4
2018-06,23.1,28.4,32.9,18.9,16.3,171.5,63,1.7,5.7,10.5
2018-07,27.8,32.1,38.3,24.2,17.7,185.6,68,1.5,4.2,8.4
2018-08,28.8,33.3,39.6,25.2,20.2,202.6,65,1.7,7.1,17.8
2018-09,21.5,26,30.9,17.6,10.8,68.5,61,1.6,5.7,11.1
2018-10,13.1,18.6,25.6,8.5,0.7,120.5,59,1.5,6.1,13.8
2018-11,7.8,13.2,19.4,3.6,-3.1,79.1,58,1.4,5.6,11.5
2018-12,-0.6,4.1,13.5,-4.7,-14.4,16.4,46,1.8,5.9,13.3
2019-01,-0.9,4.1,8.5,-5.1,-10.1,0,46,1.8,6.8,12
2019-02,1,6,14.5,-3.2,-10.2,23.8,47,1.8,5.5,10
2019-03,7.1,12.4,17.6,2.7,-1.7,26.8,51,2.1,7.2,14.9
2019-04,12.1,17.6,28.2,7.2,0.3,47.3,51,1.9,7.3,12.8
2019-05,19.4,25.6,33.4,13.7,8.4,37.8,47,2.1,6.1,12.3
2019-06,22.5,27.7,32.8,18.1,14.1,74,61,1.7,5.3,9.9
2019-07,25.9,30.1,36.1,22.7,19.3,194.4,69,1.8,5.9,11.8
2019-08,27.2,31.6,36.8,23.6,18.5,190.5,69,1.6,7.5,12.1
2019-09,22.6,27.1,30.5,19,13.6,139.8,65,2.2,11.8,28.3
2019-10,16.4,21.8,28.2,11.8,4.7,55.5,62,2.1,6.7,14.5
2019-11,7.6,12.9,22.1,3.1,-4.6,78.8,56,2.2,7,12.1
2019-12,1.4,5.3,12.9,-2.6,-10.9,22.6,58,2.1,7.5,13.1
2020-01,1.6,5.9,11.9,-1.7,-6.5,60.5,56,2.1,7,13.7
2020-02,2.5,7.2,15.6,-1.3,-11.8,53.1,58,2.3,8.2,14.4
2020-03,7.7,13.3,20.6,2.6,-2.8,16.3,46,2.5,8.2,16.3
2020-04,11.1,16.6,23.8,6.3,1.9,16.9,50,3,8.9,17
2020-05,18,23.3,30,13.7,9.2,112.4,67,2.4,7.2,16.4
2020-06,23.9,29,35.4,19.9,14.8,139.6,68,2.3,7.6,14.5
2020-07,24.1,28,32.9,21.1,17.2,270.4,77,2.4,8.7,16.1
2020-08,26.5,29.3,34.5,24.4,21.5,675.7,85,2.3,8.3,15.6
2020-09,21.4,25.6,29.5,18,13.6,181.5,71,2.5,9.8,21.5
2020-10,14.3,19.5,23.6,9.6,3.2,0,61,2.1,7.2,13.7
2020-11,8,12.6,20,4,-3.6,120.1,64,2.2,8.4,15.6
2020-12,-0.3,3.9,11.4,-4.2,-12.9,4.6,58,2.2,6.5,11.7
